donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	Lacrimospora	M_xylan4_e	0.048639467249824084	0.06740611959731622	1.0	compost	xylan
Lacrimospora	environment	M_ac_e	0.017338835495525826	0.2936600647234655	1.0	compost	xylan
Lacrimospora	environment	M_co2_e	0.014166241999699094	0.32189054635247144	1.0	compost	xylan
environment	Robinsonella	M_xylan4_e	0.009580643474216782	0.013277160223103365	0.87	compost	xylan
Lacrimospora	environment	M_etoh_e	0.006295232828686413	0.13665028867388818	0.24	compost	xylan
Robinsonella	environment	M_ac_e	0.005886713571478832	0.09970062227391535	1.0	compost	xylan
Lacrimospora	Caproibacter	M_xyl__D_e	0.005655354350548144	0.03766984070784318	0.78	compost	xylan
Robinsonella	Lacrimospora	M_xyl__D_e	0.004800075297739172	0.03197289871570325	0.07	compost	xylan
Lacrimospora	Robinsonella	M_acald_e	0.004670021791511611	0.10601060989892971	0.25	compost	xylan
Lacrimospora	Caproibacter	M_glyald_e	0.004644503685220423	0.05156108210156812	0.41	compost	xylan
Lacrimospora	Robinsonella	M_xyl__D_e	0.004465751336571449	0.029745994868240068	0.47	compost	xylan
Robinsonella	Caproibacter	M_xyl__D_e	0.0043558355557240655	0.029013855076610966	0.26	compost	xylan
Lacrimospora	environment	M_xyl__D_e	0.004036113112647346	0.026884210715731063	0.47	compost	xylan
Caproibacter	environment	M_ac_e	0.003884013675131687	0.0657817941418451	1.0	compost	xylan
Robinsonella	Lacrimospora	M_acald_e	0.0035733129012821114	0.08111505618949505	0.09	compost	xylan
environment	Lacrimospora	M_xylan8_e	0.0034230717853129954	0.0024018835938953973	0.12	compost	xylan
Robinsonella	environment	M_co_e	0.003271569687731926	0.11679964326196357	0.88	compost	xylan
Caproibacter	environment	M_co2_e	0.003089697825972733	0.07020524718464723	1.0	compost	xylan
Robinsonella	environment	M_12ppd__R_e	0.0027833457306638376	0.03657768119557019	0.07	compost	xylan
Lacrimospora	environment	M_for_e	0.002060603593625486	0.04577349188592602	0.05	compost	xylan
Lacrimospora	Caproibacter	M_glyc_e	0.0019338462431329588	0.02099872676283298	0.32	compost	xylan
Lacrimospora	Robinsonella	M_co2_e	0.001840443153512722	0.0418192243382161	0.71	compost	xylan
Robinsonella	environment	M_xyl__D_e	0.0018111227519689692	0.012063736653815332	0.17	compost	xylan
Caproibacter	environment	M_hxa_e	0.001789909731163356	0.015544170955974395	0.04	compost	xylan
Caproibacter	environment	M_h2s_e	0.0011589236906413385	0.03400517859443847	1.0	compost	xylan
environment	Caproibacter	M_cys__L_e	0.0008734162259752826	0.007208908589330801	1.0	compost	xylan
Desulfovibrio	environment	M_ac_e	0.0008658419889057033	0.014664376657126364	1.0	compost	xylan
Lacrimospora	environment	M_h2_e	0.0008601491061451374	0.4267035946746391	0.96	compost	xylan
Lacrimospora	Desulfovibrio	M_acald_e	0.0008555424064534947	0.01942101693559249	0.61	compost	xylan
Lacrimospora	Caproibacter	M_rib__D_e	0.0008268278462369983	0.00550743089290911	0.02	compost	xylan
Lacrimospora	Robinsonella	M_asp__D_e	0.0007910208743171518	0.005988295306141827	0.93	compost	xylan
Robinsonella	environment	M_co2_e	0.0007645945387466079	0.01737339753341001	0.13	compost	xylan
Lacrimospora	environment	M_thm_e	0.0007552905012553823	0.0028463516129040574	0.85	compost	xylan
Robinsonella	Desulfovibrio	M_acald_e	0.0007520829974452784	0.01707246364432536	0.16	compost	xylan
Desulfovibrio	Lacrimospora	M_etoh_e	0.0006800281651092363	0.014761335695973283	0.13	compost	xylan
Lacrimospora	Desulfovibrio	M_xyl__D_e	0.0006398748753830817	0.00426215284393195	0.74	compost	xylan
Robinsonella	environment	M_ppa_e	0.0006366792081106119	0.008713230091947105	0.01	compost	xylan
Robinsonella	Desulfovibrio	M_xyl__D_e	0.0006207531990842731	0.004134784962877203	0.26	compost	xylan
Robinsonella	environment	M_but_e	0.0005598340664542239	0.006427715182219159	0.05	compost	xylan
Lacrimospora	environment	M_h2s_e	0.0005582677064265926	0.0163807101484294	0.79	compost	xylan
Robinsonella	Lacrimospora	M_mal__L_e	0.00047310449622549235	0.003582187333711101	0.11	compost	xylan
Caproibacter	environment	M_but_e	0.00045364082958536227	0.0052084612607953	0.38	compost	xylan
Desulfovibrio	environment	M_etoh_e	0.0004493576196919208	0.009754182270892304	0.32	compost	xylan
environment	Lacrimospora	M_cys__L_e	0.00038953019749256686	0.0032150623070601827	0.77	compost	xylan
Caproibacter	Robinsonella	M_co2_e	0.00037743825796755364	0.008576290527444156	0.71	compost	xylan
Lacrimospora	environment	M_but_e	0.00032917568806867644	0.0037794191075535	0.01	compost	xylan
Lacrimospora	environment	M_4hba_e	0.0003266177082825521	0.002631108947319871	0.92	compost	xylan
Desulfovibrio	Caproibacter	M_lac__L_e	0.00025844932385821044	0.0029016493116433457	0.16	compost	xylan
Desulfovibrio	environment	M_co2_e	0.00023439448782003967	0.005325997519172899	1.0	compost	xylan
Robinsonella	environment	M_ibtol_e	0.00021574125382518768	0.002504777600693677	0.04	compost	xylan
Lacrimospora	Desulfovibrio	M_rib__D_e	0.00020834939852188566	0.0013877978579951687	0.48	compost	xylan
Desulfovibrio	environment	M_for_e	0.00020246744102935942	0.004497537419516884	0.29	compost	xylan
Caproibacter	Lacrimospora	M_ura_e	0.0001829086666294904	0.0016318513241501693	0.19	compost	xylan
Caproibacter	Desulfovibrio	M_lac__L_e	0.00017380226966976373	0.0019513041420297756	0.13	compost	xylan
Lacrimospora	Desulfovibrio	M_asp__D_e	0.0001485523957075967	0.001124591831662913	0.99	compost	xylan
Lacrimospora	environment	M_gcald_e	0.0001319392510911994	0.0021970906965519663	0.99	compost	xylan
Lacrimospora	Caproibacter	M_gcald_e	0.0001248492632777509	0.0020790261620426184	0.12	compost	xylan
