donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	Lacrimospora	M_xylan4_e	0.04832188010126771	0.06696599723314209	1.0	compost	xylan
Lacrimospora	environment	M_ac_e	0.01711648216132258	0.28989416622754555	0.99	compost	xylan
Lacrimospora	environment	M_co2_e	0.014499106176369377	0.3294540082566121	1.0	compost	xylan
environment	Robinsonella	M_xylan4_e	0.010344745204434508	0.014336076685881004	0.92	compost	xylan
Lacrimospora	environment	M_etoh_e	0.008537150376328625	0.1853154752373356	0.21	compost	xylan
environment	Lacrimospora	M_xylan8_e	0.008488170020733128	0.005955935952751125	0.14	compost	xylan
Robinsonella	environment	M_ac_e	0.005973865617239596	0.1011766773068784	1.0	compost	xylan
Lacrimospora	environment	M_xyl__D_e	0.005825735150869156	0.038804732919707034	0.49	compost	xylan
Lacrimospora	Caproibacter	M_glyald_e	0.005280839859672994	0.05862538519159563	0.46	compost	xylan
Lacrimospora	Caproibacter	M_xyl__D_e	0.0051510154086595854	0.034310481342171836	0.75	compost	xylan
Robinsonella	Lacrimospora	M_xyl__D_e	0.005141384047186272	0.03424632765170251	0.07	compost	xylan
Lacrimospora	Robinsonella	M_acald_e	0.004957762953701677	0.11254240299510757	0.25	compost	xylan
Robinsonella	Caproibacter	M_xyl__D_e	0.004305895048815587	0.028681205551311286	0.34	compost	xylan
Lacrimospora	Robinsonella	M_xyl__D_e	0.0042870615010786655	0.0285557568704263	0.27	compost	xylan
Caproibacter	environment	M_ac_e	0.003659052950550499	0.061971735446853915	1.0	compost	xylan
Robinsonella	environment	M_acald_e	0.0033543682290104538	0.07614495984351485	0.02	compost	xylan
Robinsonella	environment	M_co_e	0.003149863851407189	0.11245457357907283	0.95	compost	xylan
Caproibacter	environment	M_co2_e	0.0030720188521659274	0.06980353905783812	1.0	compost	xylan
Lacrimospora	environment	M_acald_e	0.00268071741179674	0.06085292542056142	0.02	compost	xylan
Robinsonella	Lacrimospora	M_acald_e	0.0025081595092867255	0.05693581982563323	0.04	compost	xylan
Lacrimospora	environment	M_for_e	0.002094662851071361	0.04653007172940598	0.05	compost	xylan
Robinsonella	environment	M_12ppd__R_e	0.0018793147860294446	0.02469724704056484	0.1	compost	xylan
Lacrimospora	Robinsonella	M_co2_e	0.0018689244572718676	0.04246638696808342	0.74	compost	xylan
Caproibacter	environment	M_hxa_e	0.0015719688337519453	0.01365149977335582	0.06	compost	xylan
Robinsonella	environment	M_xyl__D_e	0.0014854545415235812	0.00989448803548657	0.21	compost	xylan
Lacrimospora	Caproibacter	M_glyc_e	0.0012133704806993786	0.013175419336862846	0.25	compost	xylan
Caproibacter	environment	M_h2s_e	0.0011263882742552974	0.03305052329332932	1.0	compost	xylan
Lacrimospora	environment	M_ibt_e	0.0010285645860212199	0.011809428188847363	0.03	compost	xylan
Robinsonella	Desulfovibrio	M_acald_e	0.0009690371780330145	0.021997375353738153	0.16	compost	xylan
Desulfovibrio	environment	M_ac_e	0.000910656488335543	0.015423379694355272	1.0	compost	xylan
Lacrimospora	environment	M_h2_e	0.000872513917285851	0.43283754206064634	0.94	compost	xylan
environment	Caproibacter	M_cys__L_e	0.0007949241364179478	0.006561059051188144	1.0	compost	xylan
Lacrimospora	Desulfovibrio	M_acald_e	0.0007845074720500359	0.017808506961029043	0.73	compost	xylan
Lacrimospora	environment	M_thm_e	0.0007580582124667502	0.002856781876832223	0.93	compost	xylan
Lacrimospora	Robinsonella	M_asp__D_e	0.000751197865383117	0.005686821672235537	0.89	compost	xylan
Robinsonella	environment	M_co2_e	0.0007118486706309246	0.016174886572920037	0.1	compost	xylan
Robinsonella	environment	M_ppa_e	0.000682439998118013	0.009339486277863716	0.06	compost	xylan
Lacrimospora	environment	M_but_e	0.0006568117328113084	0.007541160854304898	0.03	compost	xylan
Lacrimospora	environment	M_h2s_e	0.0005860498090773999	0.017195893555239313	0.77	compost	xylan
Desulfovibrio	environment	M_etoh_e	0.0005772259644153248	0.01252981371999177	0.27	compost	xylan
Robinsonella	environment	M_but_e	0.0005467204921096722	0.00627715213870611	0.06	compost	xylan
Robinsonella	environment	M_ibtol_e	0.0005409912717831939	0.006280962939203639	0.03	compost	xylan
Lacrimospora	Desulfovibrio	M_xyl__D_e	0.0004961630904884819	0.003304900705647338	0.71	compost	xylan
Caproibacter	environment	M_but_e	0.0004949152270203257	0.005682351806095574	0.58	compost	xylan
Robinsonella	Desulfovibrio	M_xyl__D_e	0.0004871415686065678	0.0032448091055160225	0.33	compost	xylan
Robinsonella	Lacrimospora	M_asp__D_e	0.0004781537967888657	0.00361978581083138	0.02	compost	xylan
Lacrimospora	Caproibacter	M_rib__D_e	0.0004760799613098125	0.0031711286676490125	0.01	compost	xylan
